ID;XORIGINAL;XORIGINALUNIT;YORIGINAL;YORIGINALUNIT;YTYPE;YDESCRIPTION;LOQORIGINAL;LOQORIGINALUNIT;LODORIGINAL;LODORIGINALUNIT;YBLQ;YBLD;YSD;N;DOSEORIGINAL;DOSEORIGINALUNIT;ADM;COMPARTMENT;SPECIES;SEX;WEIGHT;WEIGHTUNIT;SPECIESTYPE;SOURCE;COMMENT
Yang_2017_retrorsine_mouse_plasma;0.00;h;;;;;;;;;;;;;70;mgperkg;ip;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.00;h;0.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;1;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.00;h;0.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;1;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.00;h;0.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;1;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.08;h;17.800;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.08;h;16.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.08;h;19.100;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.17;h;23.800;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.17;h;25.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.17;h;19.200;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.50;h;7.940;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.50;h;5.530;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.50;h;7.320;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;0.75;h;4.010;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;personal_correspondance
Yang_2017_retrorsine_mouse_plasma;0.75;h;5.040;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;personal_correspondance
Yang_2017_retrorsine_mouse_plasma;0.75;h;2.810;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;personal_correspondance
Yang_2017_retrorsine_mouse_plasma;1.00;h;3.580;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;1.00;h;3.380;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;1.00;h;1.440;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;2.00;h;0.570;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;2.00;h;1.080;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;2.00;h;1.170;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;0;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;4.00;h;0.010;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;4.00;h;0.020;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;4.00;h;0.000;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;1;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;8.00;h;0.010;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;8.00;h;0.010;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
Yang_2017_retrorsine_mouse_plasma;8.00;h;0.010;ugpermL;retrorsine_plasma;individual;0.05;ugpermL;0.001;ugpermL;1;0;;3;;;;plasma;mouse;m;0.019;kg;mouse9weeks;Yang_personal_correspondence;
White_1977_retrorsine_rat_bile;0.00;h;;;;;;;;;;;;;40;mgperkg;iv;bile;rat;m;0.175;kg;rat10weeks;White_1977_figure2;
